year,country_txt,region_txt,incident_count,GDP per capita,population,incident_per_capita,education_level
2001,Rwanda,Sub-Saharan Africa,2,1067.2347,8223950.0,2.4319214003003423e-07,2.4
2001,Saudi Arabia,Middle East & North Africa,3,24191.996,22085932.0,1.3583307238290873e-07,6.8
2001,Senegal,Sub-Saharan Africa,8,2009.9423,9938028.0,8.049886758218029e-07,2.3
2001,South Korea,East Asia,1,23804.438,47064784.0,2.124730881586538e-08,10.7
2001,Spain,Western Europe,79,28153.553,40966448.0,1.9284073639969956e-06,8.5
2001,Sri Lanka,South Asia,36,5620.966,18920278.0,1.9027204568558665e-06,10.2
2001,Switzerland,Western Europe,2,44398.64,7224413.0,2.7683910097609313e-07,11.6
2001,Taiwan,East Asia,2,26203.977,22333124.0,8.955307819900163e-08,7.907189542483661
2001,Tajikistan,Central Asia,6,1845.4781,6408813.0,9.362108084601626e-07,10.6
2001,Tanzania,Sub-Saharan Africa,4,1213.627,35414464.0,1.1294820105141221e-07,4.3
2001,Thailand,Southeast Asia,14,9818.721,63649892.0,2.1995324045483063e-07,6.3
2001,Tunisia,Middle East & North Africa,1,7848.0947,9995115.0,1.0004887387488788e-07,5.1
2001,Turkey,Middle East & North Africa,19,10950.992,65072016.0,2.9198419179144536e-07,5.6
2001,Uganda,Sub-Saharan Africa,24,1255.8844,24763328.0,9.69175064030166e-07,4.0
2001,United Kingdom,Western Europe,94,32660.441,59092016.0,1.5907394325487219e-06,11.8
2001,United States,North America,41,45878.008,285470496.0,1.436225479497538e-07,12.7
2001,Venezuela,South America,5,14298.037,24880210.0,2.009629339945282e-07,6.4
2001,Vietnam,Southeast Asia,4,2915.686,79817768.0,5.0114155033751385e-08,5.6
2001,Yemen,Middle East & North Africa,7,4249.0337,19143456.0,3.656602026300789e-07,1.3
2001,Zimbabwe,Sub-Saharan Africa,3,2193.7385,11910981.0,2.5186842292838854e-07,6.7
2002,Afghanistan,South Asia,38,796.8166,21000258.0,1.8095015785044164e-06,2.3
2002,Algeria,Middle East & North Africa,132,7814.8384,31624700.0,4.173952638285897e-06,6.3
2002,Angola,Sub-Saharan Africa,6,2522.6719,17516140.0,3.425412219815553e-07,4.4
2002,Azerbaijan,Central Asia,1,4880.4,8372128.0,1.194439454341835e-07,10.6
2002,Bangladesh,South Asia,5,1621.267,134139824.0,3.727453824600217e-08,4.3
2002,Belgium,Western Europe,3,34419.695,10355569.0,2.896991947038352e-07,10.3
2002,Brazil,South America,1,10245.069,180476688.0,5.540881822919977e-09,6.0
2002,Bulgaria,Eastern Europe,1,9471.766,7974804.0,1.253949313362435e-07,10.0
2002,Burundi,Sub-Saharan Africa,18,737.286,6648951.0,2.7071939618745875e-06,2.0
2002,Cambodia,Southeast Asia,3,1770.9572,12561783.0,2.3881960068885123e-07,3.3
2002,Chad,Sub-Saharan Africa,4,831.8292,8838371.0,4.5257208596471e-07,1.4
2002,Chile,South America,1,15509.825,15693798.0,6.371943872350083e-08,9.2
2002,China,East Asia,2,5343.1123,1280926080.0,1.561370348552822e-09,6.6
2002,Colombia,South America,150,8630.542,40454056.0,3.707910030084499e-06,6.5
2002,Ecuador,South America,2,7359.707,13070617.0,1.530149647870487e-07,7.1
2002,Ethiopia,Sub-Saharan Africa,3,793.9149,71073224.0,4.220998895449009e-08,1.7
2002,France,Western Europe,32,34152.773,59372784.0,5.389674838222173e-07,10.1
2002,Georgia,Central Asia,2,5406.953,4061127.0,4.924741334117352e-07,11.9
2002,Germany,Western Europe,3,34590.93,81443424.0,3.683538648866236e-08,12.1
2002,Greece,Western Europe,11,22893.959,11096620.0,9.912928441273108e-07,9.1
2002,Haiti,Central America & Caribbean,2,1494.1837,8661546.0,2.3090566049063296e-07,4.0
2002,Honduras,Central America & Caribbean,1,3431.2512,7019912.0,1.4245192817231897e-07,4.5
2002,India,South Asia,184,2870.9236,1098313088.0,1.6752964342349712e-07,4.6
2002,Indonesia,Southeast Asia,43,5720.2817,220115088.0,1.9535235131178287e-07,7.0
2002,Iraq,Middle East & North Africa,6,4631.6523,26255344.0,2.2852490525357428e-07,5.4
2002,Israel,Middle East & North Africa,75,24823.553,6356697.0,1.179858030042961e-05,12.1
2002,Italy,Western Europe,7,33780.055,57107576.0,1.2257568067676345e-07,8.8
2002,Japan,East Asia,2,33195.402,127301744.0,1.571070385335805e-08,10.9
2002,Jordan,Middle East & North Africa,2,8394.055,5275531.0,3.7910875701422285e-07,9.6
2002,Kenya,Sub-Saharan Africa,2,1961.8949,32779824.0,6.101314027799539e-08,5.5
2002,Kuwait,Middle East & North Africa,1,39943.15,2047368.0,4.884319770554195e-07,6.1
2002,Kyrgyzstan,Central Asia,2,3299.246,5026646.0,3.9787961992947187e-07,10.0
2002,Lebanon,Middle East & North Africa,8,8248.101,4446663.0,1.7991019332924487e-06,7.907189542483661
2002,Liberia,Sub-Saharan Africa,3,1342.7588,3060603.0,9.801990000009802e-07,3.6
2002,Madagascar,Sub-Saharan Africa,5,1110.8217,17211938.0,2.904960498928128e-07,5.3
2002,Malawi,Sub-Saharan Africa,1,886.1978,11784500.0,8.485722771437057e-08,3.2
2002,Myanmar,Southeast Asia,4,2175.8833,46480236.0,8.605808283761726e-08,3.3
2002,Nepal,South Asia,58,1709.7787,25332178.0,2.289578101022344e-06,2.5
2002,Netherlands,Western Europe,2,38653.125,16057042.0,1.245559424955107e-07,11.1
2002,Nigeria,Sub-Saharan Africa,6,2609.1294,129583032.0,4.630235847545225e-08,7.907189542483661
2002,Pakistan,South Asia,46,3265.6865,163262800.0,2.817543249288877e-07,3.8
2002,Peru,South America,2,6274.4185,27334510.0,7.316758193214365e-08,8.3
2002,Philippines,Southeast Asia,48,4181.3755,81285576.0,5.905106706754468e-07,7.9
2002,Russia,Eastern Europe,89,12259.477,145590144.0,6.113051169178046e-07,11.4
2002,Saudi Arabia,Middle East & North Africa,2,24053.975,22623412.0,8.840399494116979e-08,7.0
2002,Senegal,Sub-Saharan Africa,3,1959.6141,10180944.0,2.9466815650886596e-07,2.4
2002,South Africa,Sub-Saharan Africa,8,8171.2065,47661516.0,1.6785030505534066e-07,8.5
2002,Spain,Western Europe,41,28753.322,41477652.0,9.884841118778855e-07,8.5
2002,Sri Lanka,South Asia,3,5721.3086,19110706.0,1.5698007179849871e-07,10.2
2002,Tanzania,Sub-Saharan Africa,2,1293.2051,36353528.0,5.501529315119017e-08,4.3
2002,Thailand,Southeast Asia,12,10276.398,64222576.0,1.8685018178031352e-07,6.5
2002,Tunisia,Middle East & North Africa,1,7916.6797,10094564.0,9.906321857982177e-08,5.2
2002,Turkey,Middle East & North Africa,5,11753.953,65988664.0,7.577058993041593e-08,5.7
2002,Turkmenistan,Central Asia,1,5795.641,4698972.0,2.1281250452226573e-07,7.907189542483661
2002,Uganda,Sub-Saharan Africa,24,1301.0588,25545098.0,9.395148924462924e-07,4.2
2002,Ukraine,Eastern Europe,3,6262.9824,47976540.0,6.253056181208565e-08,10.5
2002,United Kingdom,Western Europe,21,33271.3,59355688.0,3.537992854197899e-07,11.9
2002,United States,North America,33,46266.297,288350240.0,1.1444415652298399e-07,12.7
2002,Venezuela,South America,5,12856.049,25330926.0,1.9738717802894375e-07,6.8
2002,Yemen,Middle East & North Africa,7,4292.099,19660662.0,3.5604091052478294e-07,1.5
2002,Zambia,Sub-Saharan Africa,1,1579.0228,10508294.0,9.516292559001489e-08,6.1
2002,Zimbabwe,Sub-Saharan Africa,8,2025.3177,11984643.0,6.675209265724478e-07,6.9
2003,Afghanistan,South Asia,100,842.8052,22645136.0,4.415959347738075e-06,2.4
2003,Albania,Eastern Europe,1,6004.645,3092993.0,3.233114332945467e-07,9.0
2003,Algeria,Middle East & North Africa,75,8590.178,32055882.0,2.3396642151353064e-06,6.5
2003,Argentina,South America,1,13088.565,38278164.0,2.6124554981268172e-08,9.3
2003,Bahrain,Middle East & North Africa,1,21391.611,778260.0,1.2849176367794825e-06,8.4
2003,Bangladesh,South Asia,4,1710.7314,136503216.0,2.9303338904484125e-08,4.4
2003,Belgium,Western Europe,8,34588.477,10402550.0,7.690422059975679e-07,10.4
2003,Bolivia,South America,1,4230.3726,9057386.0,1.1040713071078124e-07,7.1
2003,Brazil,South America,1,10354.596,182629280.0,5.475573248714554e-09,6.2
2003,Burundi,Sub-Saharan Africa,18,703.5615,6860854.0,2.6235800965885587e-06,2.1
2003,Cambodia,Southeast Asia,1,1850.2043,12787714.0,7.820005983868578e-08,3.4
2003,Chile,South America,2,15809.178,15859114.0,1.2611044980192463e-07,9.4
2003,China,East Asia,3,5649.4634,1288873344.0,2.327614279530014e-09,6.7
2003,Colombia,South America,98,8855.218,41057688.0,2.38688549632897e-06,6.5
2003,Ecuador,South America,4,7468.5034,13301188.0,3.0072501794576543e-07,7.1
2003,Ethiopia,Sub-Saharan Africa,1,764.5283,73168848.0,1.3667018510391199e-08,1.7
2003,France,Western Europe,34,34292.03,59728260.0,5.692447762583407e-07,10.2
2003,Georgia,Central Asia,6,6013.0093,4017826.0,1.4933449084156457e-06,12.0
